Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Channel,Postal Code,Product ID,Sales,Quantity,Unit Cost,,
574,CA-2017-164826,12-28-2017,1-4-2018,Standard Class,JF-15415,Consumer,10024,TEC-PH-10000347,14.85,3,3.6135,,
954,CA-2017-136539,12-28-2017,1-1-2018,Standard Class,GH-14665,Consumer,78664,OFF-AR-10001958,27.168,2,12.2256,,
955,CA-2017-136539,12-28-2017,1-1-2018,Standard Class,GH-14665,Consumer,78664,FUR-BO-10004709,78.8528,2,45.2244,,
2432,CA-2017-129805,12-28-2017,1-2-2018,Standard Class,HM-14860,Corporate,98103,FUR-FU-10001935,7.4,2,2.183,,
4288,CA-2017-127516,12-28-2017,1-3-2018,Standard Class,EH-14005,Home Office,37211,OFF-ST-10000736,64.784,1,77.7408,,
6090,US-2017-162068,12-28-2017,12-31-2017,Second Class,PC-18745,Corporate,80538,OFF-BI-10002813,1.188,2,1.089,,
6150,CA-2017-101322,12-28-2017,12-31-2017,First Class,JG-15310,Corporate,90805,FUR-CH-10003968,340.704,6,62.4624,,
6819,CA-2017-163860,12-28-2017,1-1-2018,Standard Class,LO-17170,Corporate,61604,OFF-BI-10003784,1.68,5,0.8736,,
6820,CA-2017-163860,12-28-2017,1-1-2018,Standard Class,LO-17170,Corporate,61604,FUR-FU-10004586,7.968,3,3.4528,,
6821,CA-2017-163860,12-28-2017,1-1-2018,Standard Class,LO-17170,Corporate,61604,FUR-CH-10004698,113.372,2,58.3056,,
6822,CA-2017-163860,12-28-2017,1-1-2018,Standard Class,LO-17170,Corporate,61604,FUR-FU-10001935,2.96,2,2.183,,
7485,CA-2017-135111,12-28-2017,1-2-2018,Standard Class,CS-12400,Home Office,58103,OFF-AR-10004707,2.48,1,1.612,,
7486,CA-2017-135111,12-28-2017,1-2-2018,Standard Class,CS-12400,Home Office,58103,OFF-BI-10004040,25.9,5,2.6418,,
8098,CA-2017-122798,12-28-2017,1-1-2018,Standard Class,SV-20935,Consumer,87105,OFF-ST-10003058,118.25,5,16.7915,,
8099,CA-2017-122798,12-28-2017,1-1-2018,Standard Class,SV-20935,Consumer,87105,OFF-PA-10004239,4.28,1,2.354,,
2570,CA-2017-134404,12-27-2017,12-27-2017,Same Day,DR-12880,Corporate,43055,TEC-PH-10000576,164.388,2,100.0027,,
2571,CA-2017-134404,12-27-2017,12-27-2017,Same Day,DR-12880,Corporate,43055,OFF-AR-10004441,13.248,4,2.4012,,
1009,US-2017-106705,12-26-2017,1-1-2018,Standard Class,PO-18850,Consumer,52601,OFF-PA-10001509,44.75,5,4.833,,
3786,CA-2017-112487,12-26-2017,12-30-2017,Standard Class,TC-21535,Home Office,43229,OFF-BI-10000494,3.132,2,2.871,,
5475,CA-2017-121741,12-26-2017,12-26-2017,Same Day,YC-21895,Corporate,68025,OFF-ST-10004459,750.68,2,356.573,,
8159,CA-2017-136238,12-26-2017,1-1-2018,Standard Class,KB-16240,Corporate,79762,OFF-PA-10004285,16.032,3,3.4736,,
111,CA-2017-146780,12-25-2017,12-30-2017,Standard Class,CV-12805,Corporate,10035,FUR-FU-10001934,41.96,2,15.5252,,
689,CA-2017-161480,12-25-2017,12-29-2017,Standard Class,RA-19285,Consumer,10035,FUR-BO-10004015,191.984,2,93.5922,,
2003,CA-2017-163510,12-25-2017,12-28-2017,Second Class,JW-15955,Consumer,40214,OFF-ST-10000563,95.94,3,28.782,,
2004,CA-2017-163510,12-25-2017,12-28-2017,Second Class,JW-15955,Consumer,40214,FUR-CH-10001146,304.45,5,45.6675,,
2424,US-2017-147669,12-25-2017,12-30-2017,Standard Class,SV-20935,Consumer,45014,TEC-AC-10002473,158.928,7,16.7442,,
2425,US-2017-147669,12-25-2017,12-30-2017,Standard Class,SV-20935,Consumer,45014,OFF-BI-10000632,13.023,1,23.4414,,
2426,US-2017-147669,12-25-2017,12-30-2017,Standard Class,SV-20935,Consumer,45014,FUR-TA-10002645,273.06,2,188.8665,,
2427,US-2017-147669,12-25-2017,12-30-2017,Standard Class,SV-20935,Consumer,45014,OFF-FA-10002975,39.312,13,2.0412,,
4922,CA-2017-114055,12-25-2017,12-29-2017,Second Class,MH-18115,Home Office,35810,OFF-PA-10004381,96.08,2,24.9808,,
4923,CA-2017-114055,12-25-2017,12-29-2017,Second Class,MH-18115,Home Office,35810,OFF-FA-10003059,3.62,2,1.2127,,
4924,CA-2017-114055,12-25-2017,12-29-2017,Second Class,MH-18115,Home Office,35810,OFF-PA-10000994,629.1,6,54.522,,
4925,CA-2017-114055,12-25-2017,12-29-2017,Second Class,MH-18115,Home Office,35810,TEC-PH-10002890,90.48,2,33.4776,,
6075,CA-2017-121398,12-25-2017,12-29-2017,Standard Class,FH-14365,Corporate,90008,OFF-BI-10001718,153.552,3,33.9094,,
6076,CA-2017-121398,12-25-2017,12-29-2017,Standard Class,FH-14365,Corporate,90008,OFF-ST-10002756,270.62,2,133.9569,,
6807,CA-2017-162880,12-25-2017,12-29-2017,Standard Class,GD-14590,Corporate,98208,OFF-BI-10003314,3.856,1,2.4582,,
7943,CA-2017-134194,12-25-2017,1-1-2018,Standard Class,GA-14725,Consumer,75081,OFF-BI-10003684,39.582,9,10.995,,
7944,CA-2017-134194,12-25-2017,1-1-2018,Standard Class,GA-14725,Consumer,75081,OFF-SU-10000946,44.688,7,5.6658,,
7945,CA-2017-134194,12-25-2017,1-1-2018,Standard Class,GA-14725,Consumer,75081,OFF-AR-10001615,31.744,2,14.6816,,
7946,CA-2017-134194,12-25-2017,1-1-2018,Standard Class,GA-14725,Consumer,75081,OFF-BI-10001597,40.98,5,21.3096,,
7947,CA-2017-134194,12-25-2017,1-1-2018,Standard Class,GA-14725,Consumer,75081,OFF-BI-10001116,3.168,3,2.7456,,
8957,CA-2017-105620,12-25-2017,12-28-2017,First Class,JH-15430,Consumer,33012,FUR-FU-10004963,21,3,5.075,,
8958,CA-2017-105620,12-25-2017,12-28-2017,First Class,JH-15430,Consumer,33012,TEC-MA-10004626,120,2,63.6,,
9377,CA-2017-108756,12-25-2017,12-29-2017,Standard Class,PO-18865,Consumer,7017,TEC-AC-10003237,31.8,3,6.042,,
405,CA-2017-117933,12-24-2017,12-29-2017,Standard Class,RF-19840,Consumer,10024,OFF-AP-10004249,35.91,3,8.7381,,
1507,CA-2017-154935,12-24-2017,12-29-2017,Standard Class,AR-10540,Consumer,10024,OFF-BI-10003708,17.88,3,4.0975,,
2482,CA-2017-147956,12-24-2017,12-31-2017,Standard Class,AH-10210,Consumer,98105,OFF-ST-10001097,1003.62,6,167.27,,
3315,CA-2017-169978,12-24-2017,12-28-2017,Standard Class,HG-15025,Consumer,11572,FUR-CH-10002602,271.764,2,111.7252,,
3316,CA-2017-169978,12-24-2017,12-28-2017,Standard Class,HG-15025,Consumer,11572,OFF-BI-10001900,14.376,3,3.1747,,
3701,CA-2017-169411,12-24-2017,12-29-2017,Standard Class,AC-10615,Corporate,14609,FUR-FU-10001602,37.93,1,31.1026,,
4030,CA-2017-124296,12-24-2017,12-28-2017,Standard Class,CS-12355,Consumer,70506,TEC-MA-10003183,479.97,3,79.995,,
4031,CA-2017-124296,12-24-2017,12-28-2017,Standard Class,CS-12355,Consumer,70506,FUR-CH-10002439,232.88,4,43.0828,,
4620,CA-2017-145219,12-24-2017,12-25-2017,First Class,RM-19675,Home Office,90049,TEC-CO-10001449,2879.952,6,311.9948,,
4621,CA-2017-145219,12-24-2017,12-25-2017,First Class,RM-19675,Home Office,90049,OFF-BI-10001670,90.48,3,18.85,,
5148,CA-2017-128734,12-24-2017,12-31-2017,Standard Class,JL-15175,Home Office,85224,FUR-FU-10001731,8.544,4,1.6554,,
5149,CA-2017-128734,12-24-2017,12-31-2017,Standard Class,JL-15175,Home Office,85224,FUR-CH-10001394,842.376,3,245.693,,
7608,CA-2017-121195,12-24-2017,12-27-2017,First Class,NS-18505,Consumer,75220,OFF-ST-10000585,264.32,2,122.248,,
8856,CA-2017-163671,12-24-2017,12-30-2017,Standard Class,DP-13105,Corporate,83642,OFF-BI-10001679,21.312,3,4.44,,
8947,CA-2017-148355,12-24-2017,12-28-2017,Standard Class,NC-18535,Corporate,2740,OFF-PA-10001972,19.44,3,3.3696,,
8948,CA-2017-148355,12-24-2017,12-28-2017,Standard Class,NC-18535,Corporate,2740,OFF-BI-10000201,12.3,5,1.23,,
883,US-2017-123463,12-23-2017,12-23-2017,Same Day,GZ-14470,Consumer,94109,OFF-AR-10001118,13.48,4,1.8872,,
2295,CA-2017-127929,12-23-2017,12-27-2017,Standard Class,FM-14215,Corporate,6457,FUR-FU-10003708,181.95,3,47.9135,,
3545,CA-2017-121216,12-23-2017,12-25-2017,Second Class,MM-17920,Consumer,77840,OFF-PA-10004519,28.672,8,2.2848,,
3546,CA-2017-121216,12-23-2017,12-25-2017,Second Class,MM-17920,Consumer,77840,OFF-AP-10001947,29.312,8,13.0072,,
6223,CA-2017-140627,12-23-2017,12-27-2017,Standard Class,DK-12985,Consumer,37075,FUR-FU-10000087,72.704,4,13.4048,,
6224,CA-2017-140627,12-23-2017,12-27-2017,Standard Class,DK-12985,Consumer,37075,OFF-AR-10000422,12.264,7,1.5987,,
6225,CA-2017-140627,12-23-2017,12-27-2017,Standard Class,DK-12985,Consumer,37075,OFF-ST-10004123,218.352,3,90.98,,
6853,US-2017-162670,12-23-2017,12-28-2017,Second Class,MF-18250,Corporate,72209,OFF-ST-10001328,62.04,4,11.1672,,
6854,US-2017-162670,12-23-2017,12-28-2017,Second Class,MF-18250,Corporate,72209,TEC-PH-10003601,494.97,3,115.493,,
6855,US-2017-162670,12-23-2017,12-28-2017,Second Class,MF-18250,Corporate,72209,OFF-ST-10001522,367.96,4,88.3104,,
6856,US-2017-162670,12-23-2017,12-28-2017,Second Class,MF-18250,Corporate,72209,OFF-PA-10001994,44.96,2,12.1392,,
6857,US-2017-162670,12-23-2017,12-28-2017,Second Class,MF-18250,Corporate,72209,OFF-EN-10001453,182.94,3,32.3194,,
6997,CA-2017-117443,12-23-2017,12-25-2017,Second Class,JB-15400,Corporate,61107,OFF-BI-10004002,13.84,4,8.996,,
6998,CA-2017-117443,12-23-2017,12-25-2017,Second Class,JB-15400,Corporate,61107,OFF-PA-10004475,175.872,4,28.0296,,
8392,CA-2017-110625,12-23-2017,12-30-2017,Standard Class,JB-16045,Home Office,6810,FUR-FU-10001473,27.46,2,8.7872,,
145,CA-2017-155376,12-22-2017,12-27-2017,Standard Class,SG-20080,Consumer,64055,OFF-AP-10001058,839.43,3,207.0594,,
1893,CA-2017-145310,12-22-2017,12-24-2017,Second Class,JP-15520,Consumer,32127,OFF-EN-10002621,7.824,1,4.89,,
2056,CA-2017-120376,12-22-2017,12-25-2017,First Class,TP-21130,Consumer,48227,TEC-AC-10001114,199.95,5,27.1932,,
2057,CA-2017-120376,12-22-2017,12-25-2017,First Class,TP-21130,Consumer,48227,FUR-CH-10002335,1586.69,7,167.7358,,
2058,CA-2017-120376,12-22-2017,12-25-2017,First Class,TP-21130,Consumer,48227,TEC-AC-10000844,84.99,1,54.3936,,
2059,CA-2017-120376,12-22-2017,12-25-2017,First Class,TP-21130,Consumer,48227,FUR-TA-10004534,411.8,2,170.897,,
2619,CA-2017-115931,12-22-2017,12-26-2017,Standard Class,JM-15655,Corporate,88220,OFF-AR-10000369,4.17,3,1.0286,,
2620,CA-2017-115931,12-22-2017,12-26-2017,Standard Class,JM-15655,Corporate,88220,TEC-PH-10001300,67.04,4,15.084,,
2621,CA-2017-115931,12-22-2017,12-26-2017,Standard Class,JM-15655,Corporate,88220,OFF-ST-10000876,37.32,3,8.9568,,
2622,CA-2017-115931,12-22-2017,12-26-2017,Standard Class,JM-15655,Corporate,88220,OFF-LA-10001404,18.45,5,1.9557,,
2728,CA-2017-119193,12-22-2017,12-24-2017,First Class,SK-19990,Consumer,43615,OFF-BI-10000848,1.641,1,2.9538,,
2729,CA-2017-119193,12-22-2017,12-24-2017,First Class,SK-19990,Consumer,43615,TEC-PH-10003072,629.958,7,76.4949,,
3102,CA-2017-119578,12-22-2017,12-27-2017,Second Class,JG-15310,Corporate,2908,OFF-SU-10003505,695.16,6,110.067,,
3103,CA-2017-119578,12-22-2017,12-27-2017,Second Class,JG-15310,Corporate,2908,FUR-BO-10003660,220.98,1,170.1546,,
6193,CA-2017-104927,12-22-2017,12-26-2017,Standard Class,AG-10330,Consumer,77095,OFF-PA-10000019,25.92,5,3.3696,,
6194,CA-2017-104927,12-22-2017,12-26-2017,Standard Class,AG-10330,Consumer,77095,OFF-BI-10003429,6.33,5,3.2283,,
6195,CA-2017-104927,12-22-2017,12-26-2017,Standard Class,AG-10330,Consumer,77095,OFF-PA-10000176,75.88,5,9.8644,,
7151,CA-2017-100412,12-22-2017,12-26-2017,Standard Class,SR-20425,Home Office,35401,FUR-CH-10002647,141.96,2,53.235,,
7152,CA-2017-142909,12-22-2017,12-25-2017,Second Class,AG-10330,Consumer,85204,FUR-TA-10003008,182.55,2,158.8185,,
8178,CA-2017-149699,12-22-2017,12-24-2017,First Class,CM-12115,Consumer,90008,TEC-AC-10000474,474.95,5,66.493,,
8578,CA-2017-146164,12-22-2017,12-26-2017,Standard Class,CM-12190,Consumer,55901,FUR-TA-10004915,607.52,2,255.1584,,
8579,CA-2017-146164,12-22-2017,12-26-2017,Standard Class,CM-12190,Consumer,55901,OFF-ST-10001228,31.16,2,11.685,,
8950,CA-2017-150910,12-22-2017,12-28-2017,Standard Class,JL-15130,Consumer,38301,FUR-TA-10002903,934.956,6,197.3796,,
8951,CA-2017-150910,12-22-2017,12-28-2017,Standard Class,JL-15130,Consumer,38301,TEC-AC-10001013,46.864,2,19.6243,,
8952,CA-2017-150910,12-22-2017,12-28-2017,Standard Class,JL-15130,Consumer,38301,OFF-ST-10000918,26.16,3,8.066,,
8953,CA-2017-150910,12-22-2017,12-28-2017,Standard Class,JL-15130,Consumer,38301,OFF-AR-10001419,23.128,7,2.891,,
8954,CA-2017-150910,12-22-2017,12-28-2017,Standard Class,JL-15130,Consumer,38301,OFF-AP-10003266,59.24,5,8.5898,,
514,CA-2017-163405,12-21-2017,12-25-2017,Standard Class,BN-11515,Consumer,90049,OFF-AR-10003811,6.63,3,1.6133,,
515,CA-2017-163405,12-21-2017,12-25-2017,Standard Class,BN-11515,Consumer,90049,OFF-AR-10001246,5.88,2,2.0874,,
1614,CA-2017-138380,12-21-2017,12-25-2017,Standard Class,YS-21880,Corporate,94601,OFF-ST-10003306,1000.02,7,101.4306,,
1967,CA-2017-165841,12-21-2017,12-28-2017,Standard Class,DB-13210,Consumer,7501,TEC-PH-10002103,281.97,3,67.6728,,
1968,CA-2017-165841,12-21-2017,12-28-2017,Standard Class,DB-13210,Consumer,7501,OFF-SU-10000898,69.5,5,9.869,,
1969,CA-2017-165841,12-21-2017,12-28-2017,Standard Class,DB-13210,Consumer,7501,OFF-PA-10001144,166.44,3,28.8496,,
2566,CA-2017-109589,12-21-2017,12-24-2017,First Class,BD-11635,Consumer,42104,TEC-AC-10003116,71,4,10.8275,,
2719,CA-2017-144827,12-21-2017,12-27-2017,Standard Class,SE-20110,Consumer,92627,OFF-ST-10004340,124.36,2,45.3914,,
3171,CA-2017-107461,12-21-2017,12-26-2017,Second Class,PK-19075,Consumer,29203,OFF-BI-10002003,23.88,6,2.1094,,
4104,CA-2017-137456,12-21-2017,12-21-2017,Same Day,RB-19465,Home Office,68025,FUR-FU-10001940,15.92,2,4.4576,,
4944,CA-2017-106782,12-21-2017,12-27-2017,Standard Class,LP-17095,Consumer,47905,OFF-ST-10004459,375.34,1,356.573,,
2269,CA-2017-105480,12-20-2017,12-26-2017,Standard Class,DK-13225,Corporate,14609,OFF-PA-10002787,6.48,1,3.3696,,
2270,CA-2017-105480,12-20-2017,12-26-2017,Standard Class,DK-13225,Corporate,14609,OFF-BI-10003291,6.984,1,4.6269,,
6509,CA-2017-102197,12-20-2017,12-26-2017,Standard Class,DK-13150,Corporate,10009,OFF-PA-10001970,279.9,5,28.5498,,
6510,CA-2017-102197,12-20-2017,12-26-2017,Standard Class,DK-13150,Corporate,10009,OFF-BI-10001524,50.352,3,10.9096,,
6511,CA-2017-102197,12-20-2017,12-26-2017,Standard Class,DK-13150,Corporate,10009,OFF-PA-10004156,34.02,3,5.7834,,
1442,CA-2017-128160,12-19-2017,12-24-2017,Second Class,MM-17920,Consumer,94110,OFF-BI-10001510,36.672,2,12.606,,
3589,CA-2017-158729,12-19-2017,12-21-2017,First Class,AC-10450,Consumer,70506,OFF-SU-10002881,1665.62,2,816.1538,,
5472,CA-2017-116946,12-19-2017,12-23-2017,Standard Class,TS-21505,Consumer,80134,FUR-FU-10000320,13.36,5,1.8704,,
5473,CA-2017-116946,12-19-2017,12-23-2017,Standard Class,TS-21505,Consumer,80134,OFF-ST-10002554,78.256,2,47.9318,,
5474,CA-2017-116946,12-19-2017,12-23-2017,Standard Class,TS-21505,Consumer,80134,FUR-BO-10000468,102.018,7,40.8072,,
1114,CA-2017-140585,12-18-2017,12-23-2017,Second Class,RA-19915,Consumer,92024,OFF-BI-10003364,46.672,2,15.1684,,
1115,CA-2017-140585,12-18-2017,12-23-2017,Second Class,RA-19915,Consumer,92024,FUR-BO-10002206,119.833,1,132.5212,,
1116,CA-2017-140585,12-18-2017,12-23-2017,Second Class,RA-19915,Consumer,92024,TEC-AC-10003610,119.98,2,31.1948,,
1249,CA-2017-115602,12-18-2017,12-24-2017,Standard Class,DJ-13630,Consumer,10009,OFF-AR-10002280,38.82,6,3.5585,,
1250,CA-2017-115602,12-18-2017,12-24-2017,Standard Class,DJ-13630,Consumer,10009,FUR-CH-10001708,1141.938,9,111.3742,,
1251,CA-2017-115602,12-18-2017,12-24-2017,Standard Class,DJ-13630,Consumer,10009,OFF-AP-10000891,1704.56,13,91.784,,
1252,CA-2017-115602,12-18-2017,12-24-2017,Standard Class,DJ-13630,Consumer,10009,OFF-AR-10000462,3.2,2,0.912,,
1910,CA-2017-105886,12-18-2017,12-23-2017,Standard Class,DB-13660,Consumer,11572,FUR-FU-10001037,18.96,2,5.214,,
2887,CA-2017-102099,12-18-2017,12-19-2017,First Class,EP-13915,Consumer,90008,OFF-AR-10003811,6.63,3,1.6133,,
2888,CA-2017-102099,12-18-2017,12-19-2017,First Class,EP-13915,Consumer,90008,OFF-PA-10003172,12.96,2,3.3696,,
2889,CA-2017-102099,12-18-2017,12-19-2017,First Class,EP-13915,Consumer,90008,OFF-PA-10000289,32.4,5,3.3696,,
3200,CA-2017-164000,12-18-2017,12-22-2017,Standard Class,AH-10030,Corporate,19134,OFF-AR-10003183,18.704,7,2.338,,
7738,CA-2017-108287,12-18-2017,12-20-2017,First Class,AG-10330,Consumer,28205,OFF-AR-10001315,12.672,9,1.2496,,
8479,CA-2017-158736,12-18-2017,12-24-2017,Standard Class,TT-21460,Home Office,94110,OFF-AR-10002578,5.76,2,2.0448,,
8845,CA-2017-156664,12-18-2017,12-23-2017,Standard Class,BP-11290,Consumer,43229,OFF-BI-10004209,7.236,3,4.422,,
8846,CA-2017-156664,12-18-2017,12-23-2017,Standard Class,BP-11290,Consumer,43229,OFF-FA-10002988,4.824,3,1.0251,,
8847,CA-2017-156664,12-18-2017,12-23-2017,Standard Class,BP-11290,Consumer,43229,OFF-PA-10002222,91.36,5,12.3336,,
8848,CA-2017-156664,12-18-2017,12-23-2017,Standard Class,BP-11290,Consumer,43229,OFF-AP-10004487,130.112,2,58.5504,,
8932,CA-2017-143252,12-18-2017,12-24-2017,Standard Class,HE-14800,Corporate,53209,FUR-FU-10001057,99.95,5,15.3923,,
8933,CA-2017-143252,12-18-2017,12-24-2017,Standard Class,HE-14800,Corporate,53209,TEC-AC-10002331,29.34,3,6.1614,,
204,US-2017-116701,12-17-2017,12-21-2017,Second Class,LC-17140,Consumer,75220,OFF-AP-10003217,66.284,2,122.6254,,
629,CA-2017-133431,12-17-2017,12-21-2017,Standard Class,LC-17140,Consumer,94122,OFF-BI-10000605,15.24,5,2.0193,,
630,CA-2017-133431,12-17-2017,12-21-2017,Standard Class,LC-17140,Consumer,94122,OFF-PA-10002615,13.23,3,2.3814,,
1025,CA-2017-106964,12-17-2017,12-20-2017,First Class,HR-14770,Home Office,90045,OFF-BI-10000320,11.808,2,3.7638,,
2852,CA-2017-107342,12-17-2017,12-22-2017,Standard Class,VF-21715,Home Office,47201,OFF-PA-10001745,28.16,4,3.7312,,
3029,CA-2017-116855,12-17-2017,12-21-2017,Standard Class,AI-10855,Consumer,23320,FUR-CH-10003846,504.9,5,84.8232,,
4342,CA-2017-130309,12-17-2017,12-21-2017,Standard Class,GB-14575,Consumer,22204,OFF-ST-10003208,544.38,3,128.8366,,
4901,CA-2017-120936,12-17-2017,12-21-2017,Standard Class,CA-12310,Corporate,92804,OFF-ST-10001526,481.32,4,89.0442,,
4902,CA-2017-120936,12-17-2017,12-21-2017,Standard Class,CA-12310,Corporate,92804,OFF-SU-10002557,13.98,1,10.3452,,
7040,CA-2017-103443,12-17-2017,12-23-2017,Standard Class,AT-10735,Consumer,10009,OFF-ST-10002276,166.72,2,62.52,,
7041,CA-2017-103443,12-17-2017,12-23-2017,Standard Class,AT-10735,Consumer,10009,OFF-BI-10001617,24.816,3,5.4802,,
7042,CA-2017-103443,12-17-2017,12-23-2017,Standard Class,AT-10735,Consumer,10009,FUR-FU-10000308,124.36,2,48.5004,,
9378,CA-2017-155362,12-17-2017,12-21-2017,Standard Class,DP-13105,Corporate,54703,OFF-ST-10001031,32.56,2,12.0472,,
2963,CA-2017-137428,12-16-2017,12-21-2017,Second Class,AY-10555,Corporate,92054,FUR-CH-10002774,81.568,2,36.1958,,
2964,CA-2017-137428,12-16-2017,12-21-2017,Second Class,AY-10555,Corporate,92054,FUR-CH-10003817,97.184,2,45.555,,
2965,CA-2017-137428,12-16-2017,12-21-2017,Second Class,AY-10555,Corporate,92054,OFF-BI-10002949,24.32,5,3.2224,,
2966,CA-2017-137428,12-16-2017,12-21-2017,Second Class,AY-10555,Corporate,92054,FUR-FU-10002445,18.96,2,5.688,,
2974,CA-2017-111808,12-16-2017,12-20-2017,Standard Class,AR-10510,Consumer,74133,OFF-BI-10004656,10.8,5,1.1232,,
3004,CA-2017-104381,12-16-2017,12-23-2017,Standard Class,RD-19810,Home Office,14609,OFF-BI-10001628,33.376,4,5.7365,,
6552,CA-2017-161578,12-16-2017,12-21-2017,Second Class,RB-19465,Home Office,90036,OFF-PA-10002986,13.36,2,3.4736,,
6553,CA-2017-161578,12-16-2017,12-21-2017,Second Class,RB-19465,Home Office,90036,OFF-ST-10002289,158.9,5,30.191,,
9045,CA-2017-137463,12-16-2017,12-20-2017,Second Class,KM-16225,Corporate,94086,OFF-BI-10003196,5.984,2,1.87,,
9046,CA-2017-137463,12-16-2017,12-20-2017,Second Class,KM-16225,Corporate,94086,TEC-AC-10000358,189.95,5,28.8724,,
9047,CA-2017-137463,12-16-2017,12-20-2017,Second Class,KM-16225,Corporate,94086,TEC-AC-10000057,149.95,5,23.6921,,
9048,CA-2017-137463,12-16-2017,12-20-2017,Second Class,KM-16225,Corporate,94086,OFF-AR-10001988,29.95,5,4.2529,,
9049,CA-2017-137463,12-16-2017,12-20-2017,Second Class,KM-16225,Corporate,94086,OFF-LA-10003498,44.4,3,7.4,,
3982,CA-2017-119564,12-15-2017,12-20-2017,Standard Class,PL-18925,Home Office,98115,FUR-FU-10003096,22.77,3,4.3263,,
4860,CA-2017-136063,12-15-2017,12-19-2017,Standard Class,SS-20140,Corporate,60302,OFF-AR-10000823,10.192,7,1.3104,,
9699,CA-2017-154116,12-15-2017,12-19-2017,Standard Class,KM-16660,Consumer,90301,OFF-PA-10004569,22.83,3,4.0333,,
9700,CA-2017-154116,12-15-2017,12-19-2017,Standard Class,KM-16660,Consumer,90301,OFF-AP-10000027,54.32,4,9.506,,
9701,CA-2017-154116,12-15-2017,12-19-2017,Standard Class,KM-16660,Consumer,90301,TEC-PH-10000675,196.776,3,60.6726,,
2947,CA-2017-169859,12-14-2017,12-18-2017,Standard Class,MP-18175,Home Office,92024,FUR-FU-10004963,26.25,3,5.075,,
2948,CA-2017-169859,12-14-2017,12-18-2017,Standard Class,MP-18175,Home Office,92024,OFF-BI-10000174,64.96,14,3.016,,
2949,CA-2017-169859,12-14-2017,12-18-2017,Standard Class,MP-18175,Home Office,92024,OFF-EN-10000461,43.7,5,4.6322,,
